EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Clase de vía;Tipo de asiento - Sobre Balasto;Estado Elemento Inventario;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12104;Calatayud - VIA;TRMV - 70502 ALHAMA DE ARAGON - S. FERNANDO-CALATAYUD, II (G2);200090;S. FERNANDO-CALATAYUD, II (G2);217,826;218,743;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107458201;022000180;ARIZA-CALATAYUD                                                                                                                 ;205,043;245,091
12104;Calatayud - VIA;TRMV - 70502 ALHAMA DE ARAGON - S. FERNANDO-MIRAFLORES, I (G1);200010;S. FERNANDO-MIRAFLORES, I (G1);217,826;218,743;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457863;022000180;ARIZA-CALATAYUD                                                                                                                 ;205,043;244,627
12105;Ricla-La Almunia - VIA;TRMV - 70608 CANTERA DE PURROY - VIA 1D/1 DE CANTERA DE PURROY;602559;VIA ESCAPE 1D/1 DE CANTERA DE PURROY;266,814;266,896;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/No Mantenible;107469830;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;266,814;266,896
12105;Ricla-La Almunia - VIA;TRMV - 70700 RICLA-LA ALMUNIA - S. FERNANDO-MIRAFLORES, I (G1);200010;S. FERNANDO-MIRAFLORES, I (G1);279,781;280,775;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457876;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
12108;Caspe - VIA;TRMV - 71200 LA PUEBLA DE HIJAR - VIA 10 DE LA PUEBLA DE HIJAR;85274;VIA 10 DE LA PUEBLA DE HIJAR;412,956;412,956;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107464038;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;412,956;413,056
12108;Caspe - VIA;TRMV - 71200 LA PUEBLA DE HIJAR - VIA 12 DE LA PUEBLA DE HIJAR;85275;VIA 12 DE LA PUEBLA DE HIJAR;413,035;413,035;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107464039;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;413,035;413,056
12108;Caspe - VIA;TRMV - 71200 LA PUEBLA DE HIJAR - VIA 2D DE LA PUEBLA DE HIJAR;604170;VIA 2D DE LA PUEBLA DE HIJAR;412,503;412,557;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107463685;022100050;LA ZAIDA-SASTAGO-LA PUEBLA DE HIJAR                                                                                             ;412,503;412,557
13111;Tarragona - VIA;TRMV - 71500 TARRAGONA - TARRAGONA CLASIFICACION-TARRAGONA, II;2450;TARRAGONA CLASIFICACION-TARRAGONA, II;103,013;103,513;624;2 ;AG.CLAS.KM 100.4 - TARRAGONA;;;En Servicio/Mantenible;107454748;026240020;TARRAGONA-MERCADERIES-TARRAGONA                                                                                                 ;101,;103,513
13111;Tarragona - VIA;TRMV - 71502 ALTAFULLA-TAMARIT - TARRAGONA-S. VICENT DE C., II;300120;TARRAGONA-S. VICENT DE C., II;10,333;11,333;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107459416;022100150;TARRAGONA - SANT VICENÇ DE CALDERS                                                                                              ;0,522;25,646
14111;L Hospitalet - VIA;TRMV - 71706 GAVA - SAN VICENTE DE CALDERS-BARCELONA SANTS, II;200110;SAN VICENTE DE CALDERS-BARCELONA SANTS, II;661,909;663,487;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107458273;022000520;CASTELLDEFELS-EL PRAT DE LLOBREGAT                                                                                              ;658,947;670,127
14111;L Hospitalet - VIA;TRMV - 71801 BARCELONA-SANTS - BARCELONA SANTS-BIF. ARAGON, II;200111;BARCELONA SANTS-BIF. ARAGON, II;678,969;679,469;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107458296;022000570;BARCELONA-SANTS-BIF. ARAGO                                                                                                      ;678,969;681,466
14111;L Hospitalet - VIA;TRMV - 71801 BARCELONA-SANTS - RODA DE BARA-BARCELONA SANTS, I;200050;RODA DE BARA-BARCELONA SANTS, I;676,082;676,582;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107458043;022000560;BELLVITGE AGUJA KM. 674,8-BARCELONA-SANTS                                                                                       ;674,8;676,582
14113;Martorell - VIA;TRMV - 72212 MARTORELL-SEAT - AG. P.KM. 0/500-MARTOREL SEAT, U;3121;AG. P.KM. 0/500-MARTOREL SEAT, U;1,639;3,356;242;2 ;MARTORELL-SEAT - AGUJA KM. 71,185;;;En Servicio/Mantenible;107455095;022420010;MARTORELL-SEAT-AGUJA KM. 0,500                                                                                                  ;0,572;3,356
13116;Borges Blanques- VIA;TRMV - 73006 VIMBODI I POBLET - LERIDA-LA PLANA PICAMOIXONS, U;200030;LERIDA-LA PLANA PICAMOIXONS, U;47,675;48,675;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457995;022000440;VINAIXA-LA PLANA-PICAMOIXONS                                                                                                    ;40,429;66,002
12109;Tardienta - VIA;TRMV - 78202 MARCEN-POLIÑINO - S. JUAN DE MOZARRIFAR-LERIDA, U;200020;S. JUAN DE MOZARRIFAR-LERIDA, U;78,275;78,99;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457960;022000350;TARDIENTA-SARIÑENA                                                                                                              ;52,936;90,862
13121;Lleida - VIA;TRMV - 78400 LLEIDA-PIRINEUS - S. JUAN DE MOZARRIFAR-LERIDA, U;200020;S. JUAN DE MOZARRIFAR-LERIDA, U;182,853;183,825;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107457970;022000400;ALMACELLES-LLEIDA-PIRINEUS                                                                                                      ;159,314;183,825
13121;Lleida - VIA;TRMV - 78504 SEGUERS-SANT PERE SALLAVINERA - LERIDA-MANRESA, U;2700;LERIDA-MANRESA, U;276,206;277,206;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;;;En Servicio/Mantenible;107454852;022200040;SANT GUIM DE FREIXENET-MANRESA                                                                                                  ;253,997;299,7
14114;Manresa - VIA;TRMV - 78700 TERRASSA - MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;333,215;334,261;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;;;En Servicio/Mantenible;107454879;022200070;TERRASSA ESTACIÓ DEL NORD-CERDANYOLA DEL VALLES                                                                                 ;333,74;351,157
14112;Montcada Bifurcaçiò - VIA;TRMV - 78800 MONTCADA-BIFURCACIO - BIF. AGUAS-MONCADA BIF., II;200460;BIF. AGUAS-MONCADA BIF., II;2,682;3,971;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107458542;022220005;BIF. AIGÜES - MONTCADA-BIFURCACIO                                                                                               ;0,;3,971
14111;L Hospitalet - VIA;TRMV - 78804 ARC DE TRIOMF - BARCELONA SANTS-BIF. VILANOVA, II;2815;BARCELONA SANTS-BIF. VILANOVA, II;102,459;103,447;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;;En Servicio/Mantenible;107454963;022760190;BIF. VILANOVA - BARCELONA-SANTS                                                                                                 ;100,295;103,745
14119;Granollers Centre- VIA;TRMV - 79005 MONTCADA I REIXAC - VIA I/II DE MONTCADA I REIXAC;86238;VIA I/II DE MONTCADA I REIXAC;119,23;119,314;270;2 ;CERBERE - BIF. ARAGO;;;En Servicio/Mantenible;107468384;022700020;BIF. AIGÜES-MONTCADA I REIXAC                                                                                                   ;119,23;119,314
