EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;Línea Código;Línea Descripción;Estado Elemento Inventario;Modelo;Id. Raíz;Tipo Aparato Dilatación;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12105;Ricla-La Almunia - VIA;AD-I-314.024`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);314,024;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451098;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;308,6;314,643
12105;Ricla-La Almunia - VIA;AD-I-314.977`20.;200010;S. FERNANDO-MIRAFLORES, I (G1);314,973;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007255;Tipo Aparato Dilatación - AD Genérico Tipo A;100451102;022000230;GRISEN-CASETAS                                                                                                                  ;314,643;327,643
12105;Ricla-La Almunia - VIA;AD-II-313,974`20;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;313,97;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007264;Tipo Aparato Dilatación - AD Genérico Tipo A;100451187;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;308,6;314,643
12105;Ricla-La Almunia - VIA;AD-II-314,134`20;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;314,13;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007264;Tipo Aparato Dilatación - AD Genérico Tipo A;100451189;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;308,6;314,643
12105;Ricla-La Almunia - VIA;AD-II-314.947`20;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;314,943;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007264;Tipo Aparato Dilatación - AD Genérico Tipo A;100451192;022000230;GRISEN-CASETAS                                                                                                                  ;314,643;327,643
12123;Alagon-VIA;AD-IIII-327.536.;85173;VIA 4 DE CASETAS;327,536;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;AD MARTINET UIC 54;100005428;Tipo Aparato Dilatación - Martinet UIC-54;100452084;022000230;GRISEN-CASETAS                                                                                                                  ;327,485;328,447
12123;Alagon-VIA;AD-IIII-328.290.;85173;VIA 4 DE CASETAS;328,29;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;AD MARTINET UIC 54;100005428;Tipo Aparato Dilatación - Martinet UIC-54;100451237;022000230;GRISEN-CASETAS                                                                                                                  ;327,485;328,447
12106;Zaragoza - VIA;AD-U-369.249`20.;2400;MIRAFLORES-REUS, U;369,245;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100000069;Tipo Aparato Dilatación - AD Genérico Tipo A;100451240;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;351,1;396,825
12105;Ricla-La Almunia - VIA;AD-II-295.044`20.;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;295,04;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007264;Tipo Aparato Dilatación - AD Genérico Tipo A;100451093;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;279,781;308,6
12105;Ricla-La Almunia - VIA;AD-II-295.124`20.;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;295,12;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;;100007264;Tipo Aparato Dilatación - AD Genérico Tipo A;100451094;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;279,781;308,6
