EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Subtipo;Estado Elemento Inventario;Modelo;Fabricante;Descripción Elemento Inventario;Fecha de Servicio;Matrícula;Fecha de fabricación;Observaciones;Fecha de instalación;Identificador Antecesores;Id. Raíz;Tipo Encarriladora;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14118;Mataro - VIA;EN-3380-111,522;3380;BIF. SAGRERA-AG.KM. 108,0-MATARO, II;111,522;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-005,574;;BIF. SAGRERA-AG.KM. 108,0-MATARO, II->EN-3380-111,522;1136553;;967324;022760140;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,077;135,569
14118;Mataro - VIA;EN-3380-111,662;3380;BIF. SAGRERA-AG.KM. 108,0-MATARO, II;111,662;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-005,714;;BIF. SAGRERA-AG.KM. 108,0-MATARO, II->EN-3380-111,662;1136553;;967325;022760140;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,077;135,569
12105;Ricla-La Almunia - VIA;EN-200010-280,89;200010;S. FERNANDO-MIRAFLORES, I (G1);280,89;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;SKL-12-54.. EN-I-280.890.;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-280,89;100007255;Tipo Encarriladora - Larga Elástica;100462519;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;280,448;308,6
14121;Port Bou;EN-200071-236,16;200071;BIF. AIGUES -PORT BOU-CERBERE,I;236,16;;270;2 ;CERBERE - BIF. ARAGO;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-236.160;;BIF. AIGUES -PORT BOU-CERBERE,I->EN-200071-236,16;123789;;967181;022700130;GIRONA-VILAMALLA                                                                                                                ;205,572;241,627
14121;Port Bou;EN-200071-259,62;200071;BIF. AIGUES -PORT BOU-CERBERE,I;259,62;;270;2 ;CERBERE - BIF. ARAGO;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-259,620;;BIF. AIGUES -PORT BOU-CERBERE,I->EN-200071-259,62;123789;;967261;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
12105;Ricla-La Almunia - VIA;EN-200100-280,89;200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;280,89;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;SKL-12-54.. EN - II - 280.890;;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II->EN-200100-280,89;100007264;Tipo Encarriladora - Larga Elástica;100462516;022000210;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;279,781;308,6
14121;Port Bou;EN-200131-236,16;200131;BIF. AIGUES-POR BOU-CERBERE,II;236,16;;270;2 ;CERBERE - BIF. ARAGO;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-236.160;;BIF. AIGUES-POR BOU-CERBERE,II->EN-200131-236,16;123792;;967179;022700130;GIRONA-VILAMALLA                                                                                                                ;205,572;241,627
14121;Port Bou;EN-200131-259,64;200131;BIF. AIGUES-POR BOU-CERBERE,II;259,64;;270;2 ;CERBERE - BIF. ARAGO;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-2-259,640;;BIF. AIGUES-POR BOU-CERBERE,II->EN-200131-259,64;123792;;967262;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,716
12104;Calatayud - VIA;EN-200010-247,403;200010;S. FERNANDO-MIRAFLORES, I (G1);247,403;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-247,403;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-247,403;100007255;Tipo Encarriladora - Larga de Tirafondos;100462618;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
12104;Calatayud - VIA;EN-200010-247,464;200010;S. FERNANDO-MIRAFLORES, I (G1);247,464;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-1-247,464;;S. FERNANDO-MIRAFLORES, I (G1)->EN-200010-247,464;100007255;Tipo Encarriladora - Larga de Tirafondos;100462634;022000190;CALATAYUD-MORATA DE JALON                                                                                                       ;244,627;272,252
