EQM1 Código;EQM1;EQM2 Código;EQM2;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Tipo;Estado Elemento Inventario;Modelo;Descripción Elemento Inventario;Escape;Entreeje (sólo escapes) (mm);Posicionado en Curva;Orientación;Mano;Fecha de Modificación;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Id. Inventario;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13121;Lleida - VIA;;;DS-1-78500 (CERVERA);2700;LERIDA-MANRESA, U;240,662;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-I;Cervera Desvio 1;No;;No;Talón;Izquierda;17/04/2014;85641612,98;462287030,84;100679449;CERVERA-SANT GUIM DE FREIXENET                                                                                                  ;240,104;253,997
14114;Manresa - VIA;;;DS-1-78600 (MANRESA);2800;MANRESA-MONTCADA BIF.- BIF.VILANOVA, I;302,626;;220;2 ;LLEIDA-PIRINEUS - BIF. VILANOVA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DSH-P1-60-250-0,11-CR-I-TC;;Sí;;No;Punta;Derecha;17/10/2024;90202680,38;463005579,96;100673030;MANRESA-SANT VICENÇ DE CASTELLET                                                                                                ;301,138;309,628
14121;Port Bou;;;DS-1-79315 (PORTBOU);200071;BIF. AIGUES -PORT BOU-CERBERE,I;272,635;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;Sí;;No;Punta;Izquierda;21/07/2020;100715572,72;471440536,66;100685065;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14120;Girona - VIA;;;DS-1-79319 (RIU TER);200071;BIF. AIGUES -PORT BOU-CERBERE,I;215,923;;270;2 ;CERBERE - BIF. ARAGO;;En Servicio/Mantenible;DMIIH-G-60-250-0,11-CC-D-TC;;Sí;;No;Punta;Derecha;28/10/2024;98762831,92;467017714,23;958875;GIRONA-VILAMALLA                                                                                                                ;205,572;241,627
14118;Mataro - VIA;;;DS-1-79405 (MONTGAT);3370;BIF. SAGRERA-AG.KM. 108,0-MATARO, I;116,172;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-D;;Sí;;No;Punta;Derecha;08/11/2024;;;992832;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,014;135,569
14118;Mataro - VIA;;;DS-1-79603 (CALELLA);3400;MATARO-MATARO-MASSANET, I;48,57;;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;;;No;;No;Punta;Derecha;14/10/2008;97210805,97;462264566,98;100672735;CALELLA - ARENYS DE MAR                                                                                                         ;38,131;48,724
12105;Ricla-La Almunia - VIA;;;DS-1/3-70703 (EPILA);200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;296,125;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/400-0,09-CR-D;Desvio nº 1 del escape 1/3 de la estación de Epila;Sí;;No;Talón;Derecha;24/01/2025;64175588,34;460870179,93;100674171;RICLA-LA ALMUNIA-CAMB-AG.KM.308,6                                                                                               ;279,781;308,6
12105;Ricla-La Almunia - VIA;;;DS-10-70706 (GRISEN);85169;VIA 7 DE GRISEN;314,034;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/241-0,11-CR-I;Desvio nº 10 Estación de Grisen;No;;No;Punta;Izquierda;17/02/2025;;;246766;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;314,034;314,657
12108;Caspe - VIA;;;DS-10-71201 (SAMPER);85291;VIA 4-4A DE SAMPER;421,951;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;En Servicio/Mantenible;;;No;;No;Talón;Izquierda;11/01/2016;;;100684172;LA PUEBLA DE HIJAR-SAMPER                                                                                                       ;421,661;422,231
13112;S. Vicenç de Calders - VIA;;;DS-10-71701 (SITGES);200050;RODA DE BARA-BARCELONA SANTS, I;642,536;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-B1-54-500-0,075-CR-I;;Sí;;No;Talón;Izquierda;30/10/2024;90247654,49;457655649,73;100672887;VILANOVA I LA GELTRU-SITGES                                                                                                     ;636,;643,3
13112;S. Vicenç de Calders - VIA;;;DS-10-71703 (GARRAF);85578;VIA 4 DE GARRAF;651,4;;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-250-0,11-CR-D;;No;;No;Punta;Derecha;30/10/2024;;;100672899;SITGES-CASTELLDEFELS                                                                                                            ;651,4;652,047
12111;Huesca - VIA;;;DS-10-74200 (HUESCA);85844;VIA 5 DE HUESCA;21,58;;070;12;BIF HUESCA - HUESCA;;En Servicio/Mantenible;;;No;;No;Punta;Izquierda;14/10/2008;;;100672048;BIF. HOYA DE HUESCA-HUESCA                                                                                                      ;21,439;21,672
14120;Girona - VIA;;;DS-10-79300 (GIRONA);200131;BIF. AIGUES-POR BOU-CERBERE,II;205,701;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-250-0,11-CR-D;;No;;No;Punta;Derecha;28/10/2024;98212827,76;466427849,9;100674555;GIRONA-VILAMALLA                                                                                                                ;205,572;241,627
14121;Port Bou;;;DS-10-79312 (LLANÇA);86443;VIA 8 DE LLANÇA;266,586;;270;2 ;CERBERE - BIF. ARAGO;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-RN 45´-320/245-0,11-CR-D;;No;;No;Talón;Derecha;25/10/2024;;;957933;FIGUERES-PORTBOU                                                                                                                ;266,099;266,62
14118;Mataro - VIA;;;DS-10-79500 (MATARO);3370;BIF. SAGRERA-AG.KM. 108,0-MATARO, I;134,243;134,279;276;2 ;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;;En Servicio/Mantenible;;;No;;No;Talón;Izquierda;14/10/2008;;;100678710;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;108,014;135,569
12123;Alagon-VIA;;;DS-10-81207 (LUCENI);2200;CASETAS-CASTEJON DE EBRO, I;38,092;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-D;;No;;No;Talón;Derecha;11/04/2014;64546695,8;463247765,75;100682136;CABAÑAS DE EBRO-CORTES DE NAVARRA                                                                                               ;29,901;53,4
12123;Alagon-VIA;;;DS-10-81210 (ALAGON);86614;VIA 7 DE ALAGON;25,02;;700;1 ;INT. ABANDO IND. PRIETO-CASETAS;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-A-54-320/241-0,11-CR-D;;No;;No;Talón;Derecha;14/10/2008;;;100678471;CASETAS-CABAÑAS DE EBRO                                                                                                         ;24,418;25,115
12108;Caspe - VIA;;;DS-11-71201 (SAMPER);85292;VIA DIAGONAL 5E DE SAMPER;422,17;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Desvío sencillo con corazón de punta fija;En Servicio/No Mantenible;DS-A-54-320/241-0,11-CR-D;Desvio nº 11 de Samper;No;;No;Talón;Derecha;31/07/2015;;;100684170;LA PUEBLA DE HIJAR-SAMPER                                                                                                       ;422,032;422,331
12111;Huesca - VIA;;;DS-11-74200 (HUESCA);85839;VIA 1 DE HUESCA;21,648;;070;12;BIF HUESCA - HUESCA;;En Servicio/No Mantenible;;;No;;No;Talón;Derecha;04/01/2019;;;100684205;BIF. HOYA DE HUESCA-HUESCA                                                                                                      ;21,379;21,672
