EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13121;Lleida - VIA;TU - Selles-Llimiana 2 - 893 - 59,16;2600;PK. 1,927 - LA POBLA DE SEGUR, U;59,16;59,435;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 2;En Servicio/No Mantenible;No;Selles-Llimiana 2;1;275,;TU - Selles-Llimiana 2 - 893 - 59,16;107095269;107095269;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 3 - 893 - 59,53;2600;PK. 1,927 - LA POBLA DE SEGUR, U;59,53;59,706;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 3;En Servicio/No Mantenible;No;Selles-Llimiana 3;1;176,;TU - Selles-Llimiana 3 - 893 - 59,53;107094821;107094821;;;;
13121;Lleida - VIA;TU - Selles-Llimiana 4 - 893 - 60,31;2600;PK. 1,927 - LA POBLA DE SEGUR, U;60,31;60,446;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Selles-Llimiana 4;En Servicio/No Mantenible;No;Selles-Llimiana 4;1;136,;TU - Selles-Llimiana 4 - 893 - 60,31;107094630;107094630;;;;
14116;Vic - VIA;TU - Túnel del Figaró - 222 - 41,382;3500;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;41,382;41,478;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Túnel del Figaró;En Servicio/Mantenible;No;del Figaró;1;95,8;TU - Túnel del Figaró - 222 - 41,382;107094564;107094564;022220040;LA GARRIGA-VIC                                                                                                                  ;37,677;68,667
14113;Martorell - VIA;TU - de Molins de Rei - 240 - 84,494;3110;S. VICENTE CALDERS-CASTELLBISBAL-L'HOSPITALET DE LLOB, II;84,494;84,95;240;2 ;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;de Molins de Rei;En Servicio/Mantenible;No;de Molins de Rei;2;455,;TU - de Molins de Rei - 240 - 84,494;107094626;107094626;022400120;EL PAPIOL-MOLINS DE REI                                                                                                         ;81,998;85,307
14111;L Hospitalet - VIA;TU - del Pas Trencat - 200 - 652,723;200050;RODA DE BARA-BARCELONA SANTS, I;652,723;652,856;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;del Pas Trencat;En Servicio/Mantenible;No;del Pas Trencat;1;133,;TU - del Pas Trencat - 200 - 652,723;107095540;107095540;022000510;SITGES-CASTELLDEFELS                                                                                                            ;643,3;658,947
14117;Ripoll - VIA;TU - nº 11 Artificial - 222 - 13,305;3610;RIPOLL-LA TOUR DE CAROL, U;13,305;13,335;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 11 Artificial;En Servicio/Mantenible;Sí;nº 11 Artificial;1;30,;TU - nº 11 Artificial - 222 - 13,305;107095380;107095380;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
14121;Port Bou;TU - nº 11 del Molino - 270 - 264,22;200071;BIF. AIGUES -PORT BOU-CERBERE,I;264,22;264,367;270;2 ;CERBERE - BIF. ARAGO;nº 11 del Molino;En Servicio/Mantenible;No;nº 11 del Molino;2;147,;TU - nº 11 del Molino - 270 - 264,22;107095550;107095550;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
14117;Ripoll - VIA;TU - nº 12 Artificial - 222 - 13,931;3610;RIPOLL-LA TOUR DE CAROL, U;13,931;13,961;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;nº 12 Artificial;En Servicio/Mantenible;No;nº 12 Artificial;1;30,;TU - nº 12 Artificial - 222 - 13,931;107095097;107095097;022220080;RIBES DE FRESER-PLANOLES                                                                                                        ;13,45;20,21
14121;Port Bou;TU - nº 14 de Pineda - 270 - 271,976;200071;BIF. AIGUES -PORT BOU-CERBERE,I;271,976;272,792;270;2 ;CERBERE - BIF. ARAGO;nº 14 de Pineda;En Servicio/Mantenible;No;nº 14 de Pineda;11;816,;TU - nº 14 de Pineda - 270 - 271,976;107094539;107094539;022700150;FIGUERES-PORTBOU                                                                                                                ;247,07;273,106
