EQM1 Código;EQM1;EQM3;Identificador Elemento Inventario;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Longitud total OP (m);Nº vanos/conductos total OP (ud);Denominación;Luz máxima de vano/conducto (m) ;PK Histórico (Km);Velocidad Máxima ferroviaria (Km/h);Observaciones;Código Ingrid;Fecha de Modificación;Usuario de Modificación;Canto Máximo Tablero (m.);Nº Vías;Esviaje;Gálibo Izquierdo (m.);Gálibo Derecho (m.);Ripabilidad Vertical;Entre Ejes Vía (m.);Temperatura Media (ºC);Precipitacion Media Anual (mm.);Muro Guardabalasto;Juntas;Polivalente;Balasto;Vía Electrificada;Drenaje;Acero Corten;Suma de luces de vanos;Material puente;Tipo Tramo Puente;Ubicación Paseos Servicio;Pretiles o Barandillas;Tipo Acceso;Tipo Entorno;Tipo Tramo Base;Sujeción Traviesa Puente;Tipo Sujeción Carril Puente;Tipo Traviesa Puente;Tipo Carril Puente;Tipo Encarriladora;Tipo Posicion Tablero;Capacidad portante;Validado;Gálibo - Ancho estándar (1435);Gálibo - Ancho ibérico (1668);Gálibo - Ancho métrico (1000);Apoyo;Barandilla;Junta de dilatación;Número de estribos;Número de pilas;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Coordenada X_F ED50-HUSO 30 EXTENDIDO;Coordenada Y_F ED50-HUSO 30 EXTENDIDO;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13113;Reus - VIA;;OPF - 230 - 2905 - BARRANC DE L'ESPINÓS - ,965;REUS-KM 84.896, U;0,965;;230;PLANA-PICAMOIXON - REUS;14,;1;BARRANC DE L'ESPINÓS;6,43;0,965;Sin definir;;RA/RU-000965;27/06/2018;INGRID;0,7;1;Sí;;;No;1,8;15,;500,;Sí;No;No;Sí;Sí;No;No;7,6;HA;Hormigón. Marcos o Pórticos;Izquierdo;Ambos lados;Vehículo Automóvil;Urbano;Hormigón. Hormigón armado;;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;84328157,;456503687,;84328157,;456503687,;1016702;022300010;LA PLANA-PICAMOIXONS-REUS                                                                                                       ;0,756;4,555
13113;Reus - VIA;;OPF - 230 - 2905 - RIERA DE L'ABEURADA - 3,925;REUS-KM 84.896, U;3,925;;230;PLANA-PICAMOIXON - REUS;44,;2;RIERA DE L'ABEURADA;16,7;3,925;Sin definir;;RA/RU-003925;11/11/2024;ACT_LUZ_VANOS_PUENTES;1,2;1;No;;;No;1,8;15,;500,;Sí;No;No;Sí;Sí;No;No;16,7;HA;Hormigón. Tableros de vigas;Izquierdo;Ambos lados;Vehículo Automóvil;Rural;Hormigón. Pretensado;;HM;Hormigón Monobloque;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;Sí;Sí;No;2;1;84594902,;456624746,;84594902,;456624746,;1016929;022300010;LA PLANA-PICAMOIXONS-REUS                                                                                                       ;0,756;4,555
14113;Martorell - VIA;;OPF - 240 - 3110 - PONTÓN SOBRE RIERA - 76,655;S. VICENTE CALDERS-CASTELLBISBAL-L'HOSPITALET DE LLOB, II;76,655;;240;S.VICENÇ CALDERS - L HOSPITALET DE LLOBREGAT;14,;3;PONTÓN SOBRE RIERA;4,;76,682;Sin definir;Se vuelve a cambiar el PK, del 76.682 al 76.655, así como el PK hitórico, del PK Histórico 76.645 al 76.682;TA/FR-076645;20/04/2022;9728445;0,5;2;No;9,;;No;1,8;16,;640,;No;No;No;Sí;Sí;No;No;4,5;Fábrica;Fábrica. Bóveda Rebajada Tímpanos continuos;No hay;Izquierdo;Vehículo Automóvil;Rural;Fábrica. Ladrillo;;Placa y tirafondos;Hormigón Bibloque;54;No hay;Superior;Sin definir;No;Desconocido;Desconocido;No aplica;Sí;Sí;No;2;2;91477914,;460352669,;91477914,;460352669,;106351798;022400070;MARTORELL CENTRAL-CASTELLBISBAL                                                                                                 ;73,191;76,837
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 151,04;BIF. AIGUES -PORT BOU-CERBERE,I;151,04;;270;CERBERE - BIF. ARAGO;4,;1;Carga automatica;3,;151,04;Sin definir;;TA/FR-151040;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;0,;HA;Sin definir;Sin definir;Sin definir;Vehículo Ferroviario;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;95250046,;462653774,;95250046,;462653774,;106351866;022700070;GRANOLLERS-CENTRE-SANT CELONI                                                                                                   ;135,305;157,131
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 154,19;BIF. AIGUES -PORT BOU-CERBERE,I;154,19;;270;CERBERE - BIF. ARAGO;5,;1;Carga automatica;4,;154,19;Sin definir;;TA/FR-154190;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;4,;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;95502699,;462800665,;95502699,;462800665,;106351867;022700070;GRANOLLERS-CENTRE-SANT CELONI                                                                                                   ;135,305;157,131
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 159,89;BIF. AIGUES -PORT BOU-CERBERE,I;159,89;;270;CERBERE - BIF. ARAGO;5,;1;Carga automatica;3,6;159,89;Sin definir;;TA/FR-159890;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;3,5999999;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;95898258,;463178374,;95898258,;463178374,;106351871;022700080;SANT CELONI-GUALBA (APD)                                                                                                        ;157,131;162,486
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 161,16;BIF. AIGUES -PORT BOU-CERBERE,I;161,16;;270;CERBERE - BIF. ARAGO;3,;1;Carga automatica;2,45;161,16;Sin definir;;TA/FR-161160;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;2,4000001;HA;Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;95994559,;463263892,;95994559,;463263892,;106351873;022700080;SANT CELONI-GUALBA (APD)                                                                                                        ;157,131;162,486
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 162,38;BIF. AIGUES -PORT BOU-CERBERE,I;162,38;;270;CERBERE - BIF. ARAGO;6,;1;Carga automatica;4,5;162,38;Sin definir;;TA/FR-162380;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;4,5;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Ferroviario;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;96087086,;463346016,;96087086,;463346016,;106351875;022700080;SANT CELONI-GUALBA (APD)                                                                                                        ;157,131;162,486
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 165,72;BIF. AIGUES -PORT BOU-CERBERE,I;165,72;;270;CERBERE - BIF. ARAGO;3,;1;Carga automatica;2,35;165,72;Sin definir;;TA/FR-165720;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;2,4000001;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Ferroviario;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;96388572,;463484893,;96388572,;463484893,;106351879;022700090;GUALBA-MAÇANET-MASSANES                                                                                                         ;162,486;176,462
14119;Granollers Centre- VIA;;OPF - 270 - 200071 - Carga automatica - 172,87;BIF. AIGUES -PORT BOU-CERBERE,I;172,87;;270;CERBERE - BIF. ARAGO;6,;1;Carga automatica;4,5;172,87;Sin definir;;TA/FR-172870;20/04/2022;9728445;;2;No;;;No;;;;No;No;No;No;Sí;No;No;4,5;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Ferroviario;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;97015336,;463789443,;97015336,;463789443,;106351884;022700090;GUALBA-MAÇANET-MASSANES                                                                                                         ;162,486;176,462
