EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Subtipo;Modelo;Estado Elemento Inventario;Radio del aparato;Descripción Elemento Inventario;Número Ap. De Vía;Fecha de Servicio;Fecha de Modificación;Usuario de Modificación;Código Estación Inicio;Estación Inicio;Identificador Antecesores;Id. Raíz;Travesía;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14121;Port Bou;TUD-40-79315 (PORTBOU);604129;VIA 10 DE PORTBOU;273,834;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-A-54-190;En Servicio/Mantenible;190;;40;;14/10/2008;CNV;79315;PORTBOU;TUD-40-79315 (PORTBOU);100685683;Travesía - TUD-A-54-190-0,13;100685683;022700150;FIGUERES-PORTBOU                                                                                                                ;272,834;274,668
14111;L Hospitalet - VIA;-B1-B3-B7181 (BIF. ARAGO);200111;BARCELONA SANTS-BIF. ARAGON, II;681,302;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;B1-B3;;08/10/2021;1343078;B7181;BIF. ARAGO;-B1-B3-B7181 (BIF. ARAGO);1371866;Travesía - TUD-A-54-320/225-0.11;1371866;022000570;BARCELONA-SANTS-BIF. ARAGO                                                                                                      ;678,969;681,466
14119;Granollers Centre- VIA;-B1-B3-79004 (SANT ANDREU);200131;BIF. AIGUES-POR BOU-CERBERE,II;115,65;;270;CERBERE - BIF. ARAGO;;TSU-A-54-0,11;En Servicio/Mantenible;;;B1-B3;;04/04/2014;mijtuu2;79004;SANT ANDREU;-B1-B3-79004 (SANT ANDREU);100679191;Travesía - TSU-A-54-0.11;100679191;022700020;BIF. AIGÜES-MONTCADA I REIXAC                                                                                                   ;115,6;118,931
14112;Montcada Bifurcaçiò - VIA;TUD-16-79004 (SANT ANDREU);200062;BIF. SAGRERA - SANT ANDREU CONDAL(NUEVA VARIANTE VIAS 8 Y 8B), I;5,436;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;16;12/12/2022;17/01/2023;E424783;79004;SANT ANDREU;TUD-16-79004 (SANT ANDREU);1484853;;1484853;022700008;LA SAGRERA - SANT ANDREU                                                                                                        ;3,1;6,6
13114;Mora La Nova- VIA;TUD-13-71300 (MORA LA NOVA);996352;VIA 5 DE MORA LA NOVA;531,417;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;;En Servicio/Mantenible;;TUD-13;13;01/01/2000;07/07/2020;8928467;71300;MORA LA NOVA;TUD-13-71300 (MORA LA NOVA);100669210;Travesía - TUS-A-RN 45-0,09;100669210;022100110;FLIX-MORA LA NOVA                                                                                                               ;530,824;531,491
14112;Montcada Bifurcaçiò - VIA;TUD-14-B7900 (BIF. SAGRERA);997315;VIA ESCAPE 5/TOP1-2 BIF. SAGRERA (NUEVA VARIANTE);3,732;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;;En Servicio/Mantenible;;;14;12/12/2022;25/10/2023;1343078;B7900;BIF. SAGRERA;TUD-14-B7900 (BIF. SAGRERA);1481327;;1481327;022760155;LA SAGRERA - BIF. SAGRERA                                                                                                       ;3,542;3,732
13114;Mora La Nova- VIA;TUD-21-71300 (MORA LA NOVA);85356;VIA 9 DE MORA LA NOVA;531,314;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;;En Servicio/Mantenible;;TUD-21;21;01/01/2000;07/07/2020;8928467;71300;MORA LA NOVA;TUD-21-71300 (MORA LA NOVA);100668994;Travesía - TUS-A-42,5-0,09;100668994;022100110;FLIX-MORA LA NOVA                                                                                                               ;530,786;531,341
13114;Mora La Nova- VIA;TUD-28-71300 (MORA LA NOVA);85345;VIA 7 DE MORA LA NOVA;530,88;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;;En Servicio/Mantenible;;;28;;20/05/2009;MIJTUCB;71300;MORA LA NOVA;TUD-28-71300 (MORA LA NOVA);100668995;Travesía - TUS-A-RN 45-0,09;100668995;022100110;FLIX-MORA LA NOVA                                                                                                               ;530,826;531,452
13114;Mora La Nova- VIA;TUD-30-71300 (MORA LA NOVA);85356;VIA 9 DE MORA LA NOVA;530,875;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;;En Servicio/Mantenible;;TUD-30;30;01/01/2000;07/07/2020;8928467;71300;MORA LA NOVA;TUD-30-71300 (MORA LA NOVA);100679088;Travesía - TUS-A-RN 45-0,09;100679088;022100110;FLIX-MORA LA NOVA                                                                                                               ;530,786;531,341
13114;Mora La Nova- VIA;TUD-32-71300 (MORA LA NOVA);85345;VIA 7 DE MORA LA NOVA;530,88;;210;MIRAFLORES - SANT VICENÇ DE CALDERS;Travesía Unión Doble TUD;;En Servicio/Mantenible;;TUD-32;32;01/01/2000;07/07/2020;8928467;71300;MORA LA NOVA;TUD-32-71300 (MORA LA NOVA);100668996;Travesía - TUS-A-RN 45-0,09;100668996;022100110;FLIX-MORA LA NOVA                                                                                                               ;530,826;531,452
13121;Lleida - VIA;TUD-2P-78400 (LLEIDA-PIRINEUS);997304;VIA 3P DE LLEIDA-PIRINEUS;185,71;;220;LLEIDA-PIRINEUS - BIF. VILANOVA;Travesía Unión Doble TUD;;En Servicio/Mantenible;;;2P;01/01/1999;21/02/2023;7796774;78400;LLEIDA-PIRINEUS;TUD-2P-78400 (LLEIDA-PIRINEUS);1300761;;1300761;;;;
